Designator,Mid X,Mid Y,Rotation,Layer
D1,120.0,-116.5,0.0,top
D2,120.0,-105.0,0.0,top
D3,120.0,-73.0,0.0,top
J1,134.96,-126.569669,0.0,top
J2,159.225,-88.0,0.0,top
R1,127.08,-96.84,180.0,top
R2,127.0,-93.84,180.0,top
R3,127.0,-90.84,180.0,top
R4,127.0,-87.84,180.0,top
R5,127.0,-84.84,180.0,top
SW1,158.2,-78.0,90.0,top
SW2,161.0,-109.5,270.0,top
U1,132.9,-56.9,0.0,top
